MFCCs_ 1,MFCCs_ 2,MFCCs_ 3,MFCCs_ 4,MFCCs_ 5,MFCCs_ 6,MFCCs_ 7,Family,Genus,Species,RecordID
0.46917904058200427,0.6956152849385615,0.21989313474618752,0.05197068699964895,0.010298827701122832,0.04914972382979397,-0.13182952483539173,Leptodactylidae,Adenomera,AdenomeraAndre,1
0.5148699525222419,0.7215269110121016,0.26106407324758385,0.07903065183537607,0.026049869253333944,-0.1042135599341738,-0.16405449992118384,Leptodactylidae,Adenomera,AdenomeraAndre,1
0.4765689924813024,0.7045125178752892,0.2355497082781322,0.10568008797910744,0.053945654612546405,-0.16692308997016883,-0.19249598087103487,Leptodactylidae,Adenomera,AdenomeraAndre,1
0.537134572772823,0.5900221295732506,0.2316739298517788,0.013611217984017352,-0.08819427429064325,-0.2669332238414227,-0.13781912725593642,Leptodactylidae,Adenomera,AdenomeraAndre,1
0.5015570052188348,0.7688677771602032,0.2684486569875723,0.14280431318875095,0.015685826580755236,-0.24518382060888466,-0.1794383556514304,Leptodactylidae,Adenomera,AdenomeraAndre,1
0.4643208143248889,0.7275242301670884,0.2609191007475598,0.12770806049234992,0.02665400202367903,-0.2734884819857312,-0.1918291236912556,Leptodactylidae,Adenomera,AdenomeraAndre,1
0.4108070484062001,0.7739718947498829,0.2817061928998867,0.14798276086796028,0.01442371810467743,-0.22207496941229352,-0.08797072622769748,Leptodactylidae,Adenomera,AdenomeraAndre,1
0.4618528745083735,0.6384819666310009,0.2815954409265787,0.11702118089825277,0.05420739574854501,-0.14720093761755781,-0.1337590294621955,Leptodactylidae,Adenomera,AdenomeraAndre,1
0.4866423661907859,0.5816351078102201,0.20819686340634275,0.03284556813500615,0.06331999175635852,-0.21907393995212376,-0.18111722030822372,Leptodactylidae,Adenomera,AdenomeraAndre,1
0.5466213099785027,0.8106412916219811,0.28339016878930207,0.1357612260057337,0.022416534800470168,-0.26044468084810823,-0.22468851742234777,Leptodactylidae,Adenomera,AdenomeraAndre,1
