MFCCs_ 1,MFCCs_ 2,MFCCs_ 3,Family,Genus,Species,RecordID
0.46917904058200427,0.6956152849385613,0.2198931347461875,Leptodactylidae,Adenomera,AdenomeraAndre,1
0.5148699525222419,0.7215269110121014,0.2610640732475838,Leptodactylidae,Adenomera,AdenomeraAndre,1
0.47656899248130236,0.7045125178752893,0.23554970827813215,Leptodactylidae,Adenomera,AdenomeraAndre,1
0.5371345727728231,0.5900221295732507,0.23167392985177876,Leptodactylidae,Adenomera,AdenomeraAndre,1
0.5015570052188348,0.768867777160203,0.26844865698757236,Leptodactylidae,Adenomera,AdenomeraAndre,1
0.4643208143248889,0.7275242301670882,0.2609191007475598,Leptodactylidae,Adenomera,AdenomeraAndre,1
0.4108070484062,0.773971894749883,0.2817061928998867,Leptodactylidae,Adenomera,AdenomeraAndre,1
0.4618528745083735,0.6384819666310009,0.2815954409265787,Leptodactylidae,Adenomera,AdenomeraAndre,1
0.4866423661907858,0.5816351078102202,0.2081968634063427,Leptodactylidae,Adenomera,AdenomeraAndre,1
0.5466213099785028,0.810641291621981,0.28339016878930207,Leptodactylidae,Adenomera,AdenomeraAndre,1
0.5197770797586165,0.7302325203985154,0.21651433549380866,Leptodactylidae,Adenomera,AdenomeraAndre,1
0.526219874238671,0.5284130955673125,0.20494925063802022,Leptodactylidae,Adenomera,AdenomeraAndre,1
0.5016059732200213,0.7241931718899122,0.22800796696294623,Leptodactylidae,Adenomera,AdenomeraAndre,1
0.5342133412847818,0.776910447283552,0.24596326336207663,Leptodactylidae,Adenomera,AdenomeraAndre,1
0.5022415631010487,0.5862296174403119,0.25900422727560685,Leptodactylidae,Adenomera,AdenomeraAndre,1
0.6060864860501901,0.807357502080255,0.2586883844560674,Leptodactylidae,Adenomera,AdenomeraAndre,1
0.4810952058336838,0.5233654994737252,0.20098028174441104,Leptodactylidae,Adenomera,AdenomeraAndre,1
0.5399645688656809,0.7490928331562607,0.25553872715972387,Leptodactylidae,Adenomera,AdenomeraAndre,1
0.5484005682978637,0.7066800068333297,0.26258306553125593,Leptodactylidae,Adenomera,AdenomeraAndre,1
0.4338223793099267,0.5828867348071908,0.06205583370667438,Leptodactylidae,Adenomera,AdenomeraAndre,1
0.4927093196994683,0.610480726290108,0.23498831132670306,Leptodactylidae,Adenomera,AdenomeraAndre,1
0.5374889714271782,0.5475586752938868,0.2693951693937804,Leptodactylidae,Adenomera,AdenomeraAndre,1
0.4819031400537958,0.6780392457054791,0.232352569963843,Leptodactylidae,Adenomera,AdenomeraAndre,1
