MFCCs_ 1,MFCCs_ 2,MFCCs_ 3,MFCCs_ 4,Family,Genus,Species,RecordID
0.46917904058200427,0.6956152849385615,0.21989313474618752,0.05197068699964895,Leptodactylidae,Adenomera,AdenomeraAndre,1
0.5148699525222419,0.7215269110121016,0.26106407324758385,0.07903065183537607,Leptodactylidae,Adenomera,AdenomeraAndre,1
0.4765689924813024,0.7045125178752892,0.2355497082781322,0.10568008797910744,Leptodactylidae,Adenomera,AdenomeraAndre,1
0.537134572772823,0.5900221295732506,0.2316739298517788,0.013611217984017352,Leptodactylidae,Adenomera,AdenomeraAndre,1
0.5015570052188348,0.7688677771602032,0.2684486569875723,0.14280431318875095,Leptodactylidae,Adenomera,AdenomeraAndre,1
0.4643208143248889,0.7275242301670884,0.2609191007475598,0.12770806049234992,Leptodactylidae,Adenomera,AdenomeraAndre,1
0.4108070484062001,0.7739718947498829,0.2817061928998867,0.14798276086796028,Leptodactylidae,Adenomera,AdenomeraAndre,1
0.4618528745083735,0.6384819666310009,0.2815954409265787,0.11702118089825277,Leptodactylidae,Adenomera,AdenomeraAndre,1
0.4866423661907859,0.5816351078102201,0.20819686340634275,0.03284556813500615,Leptodactylidae,Adenomera,AdenomeraAndre,1
0.5466213099785027,0.8106412916219811,0.28339016878930207,0.1357612260057337,Leptodactylidae,Adenomera,AdenomeraAndre,1
0.5197770797586165,0.7302325203985153,0.21651433549380866,0.11522085121659306,Leptodactylidae,Adenomera,AdenomeraAndre,1
0.5262198742386712,0.5284130955673125,0.2049492506380203,0.005837145032312544,Leptodactylidae,Adenomera,AdenomeraAndre,1
0.5016059732200213,0.7241931718899121,0.22800796696294623,0.1316328998274107,Leptodactylidae,Adenomera,AdenomeraAndre,1
0.534213341284782,0.7769104472835522,0.2459632633620766,0.09118796037576804,Leptodactylidae,Adenomera,AdenomeraAndre,1
0.5022415631010487,0.5862296174403117,0.2590042272756068,0.005946216422269711,Leptodactylidae,Adenomera,AdenomeraAndre,1
0.6060864860501901,0.8073575020802551,0.2586883844560674,0.14246756599477556,Leptodactylidae,Adenomera,AdenomeraAndre,1
