MFCCs_ 1,MFCCs_ 2,Family,Genus,Species,RecordID
0.4691790405820042,0.6956152849385613,Leptodactylidae,Adenomera,AdenomeraAndre,1
0.5148699525222419,0.7215269110121014,Leptodactylidae,Adenomera,AdenomeraAndre,1
0.47656899248130224,0.7045125178752892,Leptodactylidae,Adenomera,AdenomeraAndre,1
0.5371345727728231,0.5900221295732507,Leptodactylidae,Adenomera,AdenomeraAndre,1
0.5015570052188348,0.768867777160203,Leptodactylidae,Adenomera,AdenomeraAndre,1
0.464320814324889,0.7275242301670882,Leptodactylidae,Adenomera,AdenomeraAndre,1
0.41080704840619997,0.773971894749883,Leptodactylidae,Adenomera,AdenomeraAndre,1
0.46185287450837353,0.6384819666310008,Leptodactylidae,Adenomera,AdenomeraAndre,1
0.4866423661907858,0.5816351078102202,Leptodactylidae,Adenomera,AdenomeraAndre,1
0.5466213099785028,0.810641291621981,Leptodactylidae,Adenomera,AdenomeraAndre,1
0.5197770797586165,0.7302325203985154,Leptodactylidae,Adenomera,AdenomeraAndre,1
0.526219874238671,0.5284130955673126,Leptodactylidae,Adenomera,AdenomeraAndre,1
0.5016059732200213,0.7241931718899122,Leptodactylidae,Adenomera,AdenomeraAndre,1
0.5342133412847818,0.776910447283552,Leptodactylidae,Adenomera,AdenomeraAndre,1
0.5022415631010487,0.5862296174403119,Leptodactylidae,Adenomera,AdenomeraAndre,1
0.6060864860501902,0.807357502080255,Leptodactylidae,Adenomera,AdenomeraAndre,1
0.48109520583368387,0.5233654994737252,Leptodactylidae,Adenomera,AdenomeraAndre,1
0.5399645688656809,0.7490928331562607,Leptodactylidae,Adenomera,AdenomeraAndre,1
0.5484005682978637,0.7066800068333297,Leptodactylidae,Adenomera,AdenomeraAndre,1
0.4338223793099266,0.5828867348071908,Leptodactylidae,Adenomera,AdenomeraAndre,1
0.4927093196994683,0.610480726290108,Leptodactylidae,Adenomera,AdenomeraAndre,1
0.5374889714271782,0.5475586752938868,Leptodactylidae,Adenomera,AdenomeraAndre,1
0.48190314005379586,0.6780392457054791,Leptodactylidae,Adenomera,AdenomeraAndre,1
0.5404443427984177,0.6044632711845754,Leptodactylidae,Adenomera,AdenomeraAndre,1
0.4844440339291418,0.6812600030356112,Leptodactylidae,Adenomera,AdenomeraAndre,1
